country,Date,Population
AUT,1986,7569794.0
AUT,1993,7905633.0
AUT,2016,8736668.0
AUT,2003,8121423.0
AUT,2006,8268641.0
AUT,1997,7968041.0
AUT,2011,8391643.0
AUT,1992,7840709.0
AUT,2017,8797566.0
AUT,2021,8955797.0
AUT,1988,7585317.0
AUT,2010,8363404.0
AUT,2012,8429991.0
AUT,2002,8081957.0
AUT,1999,7992324.0
AUT,1991,7754891.0
AUT,2018,8840521.0
AUT,2009,8343323.0
AUT,2000,8011566.0
AUT,2020,8916864.0
AUT,1989,7619567.0
AUT,1990,7677850.0
AUT,2019,8879920.0
AUT,2001,8042293.0
AUT,2008,8321496.0
AUT,2007,8295487.0
AUT,1987,7574586.0
AUT,1998,7976789.0
AUT,1994,7936118.0
AUT,2015,8642699.0
AUT,2014,8546356.0
AUT,2005,8227829.0
AUT,2004,8171966.0
AUT,1995,7948278.0
AUT,1996,7959017.0
AUT,2013,8479823.0
AUT,2022,9042528.0
BEL,1987,9870234.0
BEL,2005,10478617.0
BEL,2002,10332785.0
BEL,2007,10625700.0
BEL,2004,10421137.0
BEL,1999,10226419.0
BEL,1991,10004486.0
BEL,2009,10796493.0
BEL,2018,11427054.0
BEL,2020,11538604.0
BEL,1995,10136811.0
BEL,1989,9937697.0
BEL,2000,10251250.0
BEL,1990,9967379.0
BEL,2014,11209057.0
BEL,2001,10286570.0
BEL,1986,9861823.0
BEL,2008,10709973.0
BEL,2013,11159407.0
BEL,1998,10203008.0
BEL,2010,10895586.0
BEL,2017,11375158.0
BEL,2012,11106932.0
BEL,2022,11669446.0
BEL,1993,10084475.0
BEL,2016,11331422.0
BEL,2003,10376133.0
BEL,1996,10156637.0
BEL,2006,10547958.0
BEL,2011,11038264.0
BEL,1997,10181245.0
BEL,2021,11592952.0
BEL,1988,9901664.0
BEL,1994,10115603.0
BEL,1992,10045158.0
BEL,2015,11274196.0
BEL,2019,11488980.0
BGR,1998,8256786.0
BGR,2010,7395599.0
BGR,2014,7223938.0
BGR,1993,8472313.0
BGR,2012,7305888.0
BGR,1996,8362826.0
BGR,1990,8718289.0
BGR,2000,8170172.0
BGR,2015,7177991.0
BGR,1995,8406067.0
BGR,2013,7265115.0
BGR,2017,7075947.0
BGR,1999,8210624.0
BGR,2018,7025037.0
BGR,1997,8312068.0
BGR,2011,7348328.0
BGR,1994,8443591.0
BGR,1992,8540164.0
BGR,1991,8632367.0
BGR,2016,7127822.0
BGR,2019,6975761.0
BGR,2009,7444443.0
BGR,2021,6877743.0
BGR,2020,6934015.0
BGR,1989,8876972.0
BGR,2005,7658972.0
BGR,2004,7716860.0
BGR,1987,8971359.0
BGR,1988,8981446.0
BGR,2008,7492561.0
BGR,2001,8009142.0
BGR,2002,7837161.0
BGR,2003,7775327.0
BGR,2007,7545338.0
BGR,2022,6465097.0
BGR,1986,8958171.0
BGR,2006,7601022.0
CYP,2002,982194.0
CYP,2010,1129686.0
CYP,2007,1073873.0
CYP,2005,1037062.0
CYP,1998,914660.0
CYP,2015,1187280.0
CYP,1994,844444.0
CYP,2017,1208523.0
CYP,2014,1176995.0
CYP,1991,799061.0
CYP,2021,1244188.0
CYP,1992,810431.0
CYP,2022,1251488.0
CYP,2011,1145086.0
CYP,1996,880058.0
CYP,1997,897471.0
CYP,2006,1055438.0
CYP,2016,1197881.0
CYP,2003,1000350.0
CYP,2012,1156556.0
CYP,1993,825986.0
CYP,1988,766412.0
CYP,2004,1018684.0
CYP,1987,755021.0
CYP,2019,1228836.0
CYP,1995,862418.0
CYP,2009,1110974.0
CYP,1999,931600.0
CYP,2008,1092390.0
CYP,2013,1166968.0
CYP,2000,948237.0
CYP,2018,1218831.0
CYP,2020,1237537.0
CYP,1986,743446.0
CYP,1989,777592.0
CYP,1990,788500.0
CYP,2001,964830.0
CZE,1989,10361068.0
CZE,2011,10496088.0
CZE,1996,10315241.0
CZE,1997,10304131.0
CZE,2022,10526073.0
CZE,1990,10333355.0
CZE,2008,10384603.0
CZE,2012,10510785.0
CZE,2016,10566332.0
CZE,2019,10671870.0
CZE,1986,10342227.0
CZE,2003,10193998.0
CZE,2000,10255063.0
CZE,1987,10347318.0
CZE,1993,10329855.0
CZE,2006,10238905.0
CZE,1992,10319123.0
CZE,2002,10196916.0
CZE,2015,10546059.0
CZE,1994,10333587.0
CZE,2007,10298828.0
CZE,2001,10216605.0
CZE,1991,10308578.0
CZE,2018,10629928.0
CZE,2013,10514272.0
CZE,1999,10283860.0
CZE,2010,10474410.0
CZE,1995,10327253.0
CZE,2005,10211216.0
CZE,2004,10197101.0
CZE,2009,10443936.0
CZE,1998,10294373.0
CZE,1988,10355276.0
CZE,2017,10594438.0
CZE,2014,10525347.0
CZE,2020,10697858.0
CZE,2021,10505772.0
DEU,2012,80425823.0
DEU,1996,81914831.0
DEU,1995,81678051.0
DEU,1986,77720436.0
DEU,2013,80645605.0
DEU,2004,82516260.0
DEU,2022,84079811.0
DEU,2015,81686611.0
DEU,2014,80982500.0
DEU,2005,82469422.0
DEU,1994,81438348.0
DEU,2008,82110097.0
DEU,1987,77839920.0
DEU,2000,82211508.0
DEU,2019,83092962.0
DEU,1989,78751283.0
DEU,1990,79433029.0
DEU,2009,81902307.0
DEU,1999,82100243.0
DEU,2020,83160871.0
DEU,2018,82905782.0
DEU,2001,82349925.0
DEU,2007,82266372.0
DEU,1991,80013896.0
DEU,1993,81156363.0
DEU,1998,82047195.0
DEU,1988,78144619.0
DEU,2010,81776930.0
DEU,1992,80624598.0
DEU,2021,83196078.0
DEU,2002,82488495.0
DEU,2003,82534176.0
DEU,2016,82348669.0
DEU,1997,82034771.0
DEU,2006,82376451.0
DEU,2011,80274983.0
DEU,2017,82657002.0
DNK,2008,5493621.0
DNK,2000,5339616.0
DNK,2004,5404523.0
DNK,2012,5591572.0
DNK,1996,5263074.0
DNK,2009,5523095.0
DNK,2005,5419432.0
DNK,2013,5614932.0
DNK,2011,5570572.0
DNK,2001,5358783.0
DNK,2007,5461438.0
DNK,2006,5437272.0
DNK,2002,5375931.0
DNK,2003,5390574.0
DNK,2010,5547683.0
DNK,1998,5304219.0
DNK,1999,5321799.0
DNK,1997,5284991.0
DNK,1995,5233373.0
DNK,2020,5831404.0
DNK,1993,5188628.0
DNK,2016,5728010.0
DNK,1988,5129516.0
DNK,2019,5814422.0
DNK,2014,5643475.0
DNK,1994,5206180.0
DNK,1987,5127024.0
DNK,2022,5903037.0
DNK,2015,5683483.0
DNK,2021,5856733.0
DNK,1990,5140939.0
DNK,1991,5154298.0
DNK,1989,5132594.0
DNK,1986,5120534.0
DNK,2017,5764980.0
DNK,1992,5171370.0
DNK,2018,5793636.0
ESP,2012,46773055.0
ESP,2000,40567864.0
ESP,2008,45954106.0
ESP,1989,38827764.0
ESP,2019,47134837.0
ESP,2016,46484062.0
ESP,1993,39361262.0
ESP,1992,39157685.0
ESP,2009,46362946.0
ESP,1999,40386875.0
ESP,1997,40057389.0
ESP,2018,46797754.0
ESP,1991,38966376.0
ESP,2010,46576897.0
ESP,1998,40223509.0
ESP,2017,46593236.0
ESP,2011,46742697.0
ESP,1990,38867322.0
ESP,2020,47365655.0
ESP,2014,46480882.0
ESP,1996,39889852.0
ESP,1987,38684815.0
ESP,1995,39724050.0
ESP,2005,43653155.0
ESP,2006,44397319.0
ESP,2022,47615034.0
ESP,2013,46620045.0
ESP,2002,41431558.0
ESP,2021,47415750.0
ESP,2015,46444832.0
ESP,1994,39549108.0
ESP,2007,45226803.0
ESP,1986,38584624.0
ESP,2004,42921895.0
ESP,2001,40850412.0
ESP,1988,38766939.0
ESP,2003,42187645.0
EST,1998,1386156.0
EST,2003,1370720.0
EST,2022,1344768.0
EST,2017,1317384.0
EST,2010,1331475.0
EST,1986,1540190.0
EST,1991,1561314.0
EST,2004,1362550.0
EST,2005,1354775.0
EST,2021,1330932.0
EST,1999,1390244.0
EST,1987,1552221.0
EST,2020,1329522.0
EST,2006,1346810.0
EST,2002,1379350.0
EST,1990,1569174.0
EST,2019,1326898.0
EST,1988,1561900.0
EST,2000,1396985.0
EST,2008,1337090.0
EST,1989,1568131.0
EST,2007,1340680.0
EST,2001,1388115.0
EST,2018,1321977.0
EST,1992,1533091.0
EST,2009,1334515.0
EST,1996,1415594.0
EST,1997,1399535.0
EST,2014,1314545.0
EST,2011,1327439.0
EST,2013,1317997.0
EST,1995,1436634.0
EST,2012,1322696.0
EST,2016,1315790.0
EST,1994,1462514.0
EST,1993,1494128.0
EST,2015,1315407.0
FIN,1988,4946481.0
FIN,2015,5479531.0
FIN,1996,5124573.0
FIN,1999,5165474.0
FIN,2002,5200598.0
FIN,2008,5313399.0
FIN,1994,5088333.0
FIN,2009,5338871.0
FIN,2007,5288720.0
FIN,2020,5529543.0
FIN,2001,5188008.0
FIN,1990,4986431.0
FIN,1993,5066447.0
FIN,1992,5041992.0
FIN,2019,5521606.0
FIN,2012,5413971.0
FIN,1989,4964371.0
FIN,2000,5176209.0
FIN,2016,5495303.0
FIN,1997,5139835.0
FIN,2018,5515525.0
FIN,2006,5266268.0
FIN,1998,5153498.0
FIN,2005,5246096.0
FIN,1986,4918154.0
FIN,2003,5213014.0
FIN,2010,5363352.0
FIN,2014,5461512.0
FIN,2017,5508214.0
FIN,1987,4932123.0
FIN,1995,5107790.0
FIN,2004,5228172.0
FIN,2021,5541017.0
FIN,1991,5013740.0
FIN,2013,5438972.0
FIN,2011,5388272.0
FIN,2022,5556880.0
FRA,2022,67935660.0
FRA,1996,59756533.0
FRA,2004,62716306.0
FRA,1989,57766282.0
FRA,2014,66312067.0
FRA,1986,56865193.0
FRA,2019,67388001.0
FRA,2015,66548272.0
FRA,2007,64021737.0
FRA,2006,63628261.0
FRA,2005,63188395.0
FRA,2003,62256970.0
FRA,2020,67571107.0
FRA,1988,57472651.0
FRA,1995,59543659.0
FRA,1987,57168409.0
FRA,2021,67749632.0
FRA,1994,59327585.0
FRA,2013,66002289.0
FRA,2002,61816234.0
FRA,2001,61367388.0
FRA,2008,64379696.0
FRA,1992,58849943.0
FRA,2018,67158348.0
FRA,1993,59106166.0
FRA,1990,58044701.0
FRA,2009,64710879.0
FRA,2010,65030575.0
FRA,2011,65345233.0
FRA,2012,65662240.0
FRA,2000,60921384.0
FRA,2016,66724104.0
FRA,1999,60504420.0
FRA,1998,60192790.0
FRA,1997,59969944.0
FRA,1991,58557577.0
FRA,2017,66918020.0
GRC,2009,11107017.0
GRC,1988,10036983.0
GRC,1999,10761698.0
GRC,2005,10987314.0
GRC,2020,10698599.0
GRC,2003,10928070.0
GRC,2010,11121341.0
GRC,2008,11077841.0
GRC,2016,10775971.0
GRC,2002,10902022.0
GRC,1995,10562153.0
GRC,2006,11020362.0
GRC,1997,10661259.0
GRC,2013,10965211.0
GRC,1991,10319927.0
GRC,2021,10641221.0
GRC,1994,10512922.0
GRC,1987,10000595.0
GRC,2018,10732882.0
GRC,2015,10820883.0
GRC,1992,10399061.0
GRC,2012,11045011.0
GRC,2000,10805808.0
GRC,2019,10721582.0
GRC,2017,10754679.0
GRC,2014,10892413.0
GRC,1989,10089498.0
GRC,2011,11104899.0
GRC,1986,9967213.0
GRC,1993,10460415.0
GRC,1996,10608800.0
GRC,1998,10720509.0
GRC,1990,10196792.0
GRC,2001,10862132.0
GRC,2004,10955141.0
GRC,2022,10566531.0
GRC,2007,11048473.0
HRV,2017,4124531.0
HRV,1992,4575818.0
HRV,2010,4295427.0
HRV,1994,4652024.0
HRV,2013,4255689.0
HRV,1986,4721446.0
HRV,2022,3854000.0
HRV,1995,4620030.0
HRV,2014,4238389.0
HRV,2011,4280622.0
HRV,2003,4303399.0
HRV,1998,4532135.0
HRV,2005,4310145.0
HRV,1987,4739745.0
HRV,2004,4304600.0
HRV,2021,3879000.0
HRV,2001,4299642.0
HRV,1993,4600463.0
HRV,2007,4310217.0
HRV,1996,4557097.0
HRV,1990,4777368.0
HRV,2018,4087843.0
HRV,1989,4767260.0
HRV,2020,4047680.0
HRV,1988,4755207.0
HRV,2015,4203604.0
HRV,2009,4305181.0
HRV,2019,4065253.0
HRV,1999,4512597.0
HRV,2016,4174349.0
HRV,2002,4302174.0
HRV,2008,4309705.0
HRV,2006,4311159.0
HRV,2000,4468302.0
HRV,1997,4534920.0
HRV,1991,4689022.0
HRV,2012,4267558.0
HUN,2019,9771141.0
HUN,2016,9814023.0
HUN,2012,9920362.0
HUN,2008,10038188.0
HUN,2015,9843028.0
HUN,2018,9775564.0
HUN,2007,10055780.0
HUN,2014,9866468.0
HUN,2021,9709891.0
HUN,2010,10000023.0
HUN,2020,9750149.0
HUN,2005,10087065.0
HUN,2009,10022650.0
HUN,2011,9971727.0
HUN,2013,9893082.0
HUN,2017,9787966.0
HUN,2022,9683505.0
HUN,2006,10071370.0
HUN,2004,10107146.0
HUN,1986,10630564.0
HUN,1989,10481719.0
HUN,1990,10373988.0
HUN,2002,10158608.0
HUN,1999,10237530.0
HUN,1994,10343355.0
HUN,1993,10357523.0
HUN,2001,10187576.0
HUN,1991,10373400.0
HUN,2003,10129552.0
HUN,1998,10266570.0
HUN,2000,10210971.0
HUN,1996,10311238.0
HUN,1992,10369341.0
HUN,1995,10328965.0
HUN,1987,10612741.0
HUN,1997,10290486.0
HUN,1988,10596487.0
IRL,1988,3524949.0
IRL,2020,4985382.0
IRL,2001,3866243.0
IRL,1995,3608841.0
IRL,2007,4398942.0
IRL,2019,4934340.0
IRL,2013,4623816.0
